Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Credit_Score,Repayment_History,Collateral_Value,Loan_Tenure,Default_Status
L00001,C00001,1742743,Personal,505,68.02954767441437,481766,88,1
L00002,C00002,4354572,Business,654,66.63517409976664,2912934,33,0
L00003,C00003,4976484,Vehicle,330,55.71254327798297,1347431,217,1
L00004,C00004,2284489,Vehicle,543,70.50443879907593,2808402,205,1
L00005,C00005,1620006,Business,788,80.25426051299681,680588,73,0
L00006,C00006,1186074,Home,354,97.7384961792305,625996,139,0
L00007,C00007,4094887,Personal,490,62.4403238312773,293109,145,1
L00008,C00008,1289911,Home,528,80.08759301520746,35158,211,0
L00009,C00009,4522471,Education,485,85.09634248455873,3607837,183,0
L00010,C00010,2188242,Education,607,52.990577212438936,2416292,351,0
L00011,C00011,4573669,Personal,548,73.03512464632713,3602214,126,1
L00012,C00012,1816891,Vehicle,423,52.28519832644453,1009120,62,1
L00013,C00013,4571373,Personal,802,94.38186874216316,2268592,92,0
L00014,C00014,3394769,Personal,683,79.39831431314784,3384891,132,0
L00015,C00015,841743,Personal,366,91.5239919940798,2362882,87,0
L00016,C00016,153355,Education,740,60.04976551013337,2890394,195,0
L00017,C00017,1312752,Personal,667,61.383378911853654,3699788,278,0
L00018,C00018,1446025,Education,459,83.63237977274153,3496009,328,0
L00019,C00019,1357371,Education,618,85.93550711360808,3719103,100,0
L00020,C00020,967040,Home,710,57.755739628889245,3277197,154,0
L00021,C00021,2303882,Vehicle,597,51.098800290811084,3438500,85,1
L00022,C00022,3580409,Personal,698,71.24626850234213,2602986,288,0
L00023,C00023,4899115,Vehicle,354,62.22675768465902,877004,66,1
L00024,C00024,4771339,Vehicle,649,64.35608701531413,3277222,178,0
L00025,C00025,4892447,Vehicle,678,88.39371900357625,3132940,108,0
L00026,C00026,1550942,Vehicle,521,69.93345484032426,3351846,297,1
L00027,C00027,4310029,Vehicle,577,56.669875564924396,1821265,266,1
L00028,C00028,3325709,Education,303,65.95674140944003,180929,30,1
L00029,C00029,134654,Education,363,75.79344163006078,1578888,78,0
L00030,C00030,2004354,Education,537,80.37162522869338,1506340,333,0
L00031,C00031,2466182,Vehicle,443,72.87711262809376,1230969,320,1
L00032,C00032,3524675,Personal,330,88.58537951292973,729217,297,0
L00033,C00033,2702991,Vehicle,818,58.530606164682794,2507605,282,0
L00034,C00034,2478388,Personal,535,66.63158811218601,1395671,87,1
L00035,C00035,578178,Home,540,56.48701678022712,806591,163,1
L00036,C00036,2713046,Vehicle,466,65.57780305039732,2827273,162,1
L00037,C00037,2636644,Personal,498,65.9119062016571,1730792,112,1
L00038,C00038,2620406,Vehicle,387,78.67369312912996,2355412,43,0
L00039,C00039,3466664,Personal,759,80.74204760314774,2020259,146,0
L00040,C00040,3435659,Home,627,93.0405061440639,1623234,125,0
L00041,C00041,3435357,Personal,689,87.9591157259757,1332046,85,0
L00042,C00042,2845513,Education,594,82.0360295625263,1478761,196,0
L00043,C00043,1515689,Education,309,66.57227185286723,1171076,339,1
L00044,C00044,118148,Education,501,82.36895082801527,2404109,350,0
L00045,C00045,1875665,Business,640,88.47380287905553,1796730,28,0
L00046,C00046,2795683,Vehicle,818,62.17559140739027,3012396,184,0
L00047,C00047,3447723,Vehicle,839,85.94456665988754,3688378,125,0
L00048,C00048,3053758,Education,530,74.72445346741276,3919431,258,1
L00049,C00049,4106518,Personal,478,61.650965532875986,2938372,171,1
L00050,C00050,2719995,Home,728,57.06384518737856,2401802,309,0
L00051,C00051,4500812,Vehicle,523,54.21609037567548,222867,18,1
L00052,C00052,4848669,Vehicle,517,85.33912022013484,3543614,187,0
L00053,C00053,1920928,Personal,455,95.42603056596325,722968,254,0
L00054,C00054,4205299,Vehicle,661,53.79573091966485,1628620,247,0
L00055,C00055,2607489,Business,754,77.99137099540252,3129961,59,0
L00056,C00056,1823415,Business,452,90.09788055524476,2299485,133,0
L00057,C00057,2355413,Education,736,73.68991568575363,2387560,220,0
L00058,C00058,3960197,Vehicle,559,68.49018272311451,672960,355,1
L00059,C00059,321836,Home,673,92.9244692895559,1129362,60,0
L00060,C00060,3634702,Home,483,51.42193097325071,1476420,74,1
L00061,C00061,2145505,Education,559,57.16035079221859,1682529,36,1
L00062,C00062,2349435,Education,562,77.41554363166979,1628576,191,0
L00063,C00063,246769,Vehicle,735,50.56050536983857,477613,181,0
L00064,C00064,2708505,Vehicle,821,97.71035876388109,1015282,187,0
L00065,C00065,1321741,Business,414,61.60121047983885,534526,316,1
L00066,C00066,3819315,Vehicle,542,91.10602139310316,3642148,240,0
L00067,C00067,1096797,Personal,443,87.0825315083369,3900990,87,0
L00068,C00068,3097262,Vehicle,503,87.34033184318005,3955728,131,0
L00069,C00069,1634398,Education,746,74.4531303448893,1768057,251,0
L00070,C00070,2635031,Education,502,74.97338802019098,3233632,216,1
L00071,C00071,614685,Business,481,66.12438856487215,3889534,224,1
L00072,C00072,2929190,Education,725,70.75248269402385,2782534,224,0
L00073,C00073,1361736,Business,409,55.11476301762637,3837342,167,1
L00074,C00074,1057293,Business,768,61.37870577577135,3114431,31,0
L00075,C00075,4824183,Education,514,57.66720214711087,1310830,222,1
L00076,C00076,3416612,Home,639,87.53951826861191,3136423,141,0
L00077,C00077,73247,Home,817,91.4953174011364,122155,268,0
L00078,C00078,2754238,Home,737,86.2349551718047,2647466,111,0
L00079,C00079,2680708,Personal,579,52.10322922529653,2390801,13,1
L00080,C00080,3544679,Home,387,99.92041734890358,1092982,248,0
L00081,C00081,1817640,Personal,497,51.83192063313523,892579,130,1
L00082,C00082,2663740,Home,673,59.044759637405704,1245552,86,0
L00083,C00083,1335160,Vehicle,465,83.3479751480481,607959,282,0
L00084,C00084,1475472,Vehicle,739,67.74782381781608,2473882,245,0
L00085,C00085,98984,Business,546,54.03884170162354,1975898,272,1
L00086,C00086,2450070,Home,608,86.68148456022735,2626306,173,0
L00087,C00087,3315879,Personal,511,67.03753433551447,2860122,117,1
L00088,C00088,1554384,Education,432,61.92933647494439,1901218,189,1
L00089,C00089,2280919,Vehicle,630,58.81699321766061,3833794,139,0
L00090,C00090,1802126,Personal,375,91.59147594121592,3241968,233,0
L00091,C00091,4380634,Home,534,54.408530060883145,533061,26,1
L00092,C00092,1787095,Business,591,51.781083645175045,768250,65,1
L00093,C00093,2161138,Education,697,96.50614336717146,1132500,196,0
L00094,C00094,4830450,Business,767,64.85869918626845,1626309,112,0
L00095,C00095,2159818,Home,630,76.73768735308633,2458236,160,0
L00096,C00096,2281785,Personal,341,58.53763101561256,37440,105,1
L00097,C00097,4533302,Education,681,50.34721172221884,326330,227,0
L00098,C00098,2998089,Business,605,80.44833817956362,3348454,249,0
L00099,C00099,2775928,Vehicle,394,89.43097603413713,3739360,177,0
L00100,C00100,3903339,Personal,637,86.48438476093514,2397158,277,0
L00101,C00101,1893400,Business,667,84.78044511124577,2563482,288,0
L00102,C00102,1129111,Home,329,58.09726392855836,643171,276,1
L00103,C00103,1046107,Personal,314,80.42166158913749,660235,29,0
L00104,C00104,3571441,Business,688,62.261238183687944,3403330,256,0
L00105,C00105,4595583,Education,328,72.68963354586526,3023748,335,1
L00106,C00106,1920230,Business,799,86.82497943854608,674675,325,0
L00107,C00107,3797389,Personal,692,83.56048007420438,150160,136,0
L00108,C00108,4192807,Home,328,69.71257312205584,1815917,41,1
L00109,C00109,4733874,Business,788,99.93750367220863,2434926,354,0
L00110,C00110,3652279,Home,753,85.79666205854454,602427,20,0
L00111,C00111,2171690,Business,348,65.00275098820319,1657807,323,1
L00112,C00112,3041650,Vehicle,369,98.51294736440386,1488149,125,0
L00113,C00113,541234,Home,555,67.70444656141576,1849950,36,1
L00114,C00114,1998260,Home,759,68.64131114139154,2925408,319,0
L00115,C00115,4383486,Education,639,52.446693620828114,136028,323,0
L00116,C00116,1571101,Business,402,52.41197312790577,2998074,26,1
L00117,C00117,4428368,Home,644,70.95439566463698,2463407,20,0
L00118,C00118,4458324,Personal,849,93.76171173843318,1486324,57,0
L00119,C00119,3186729,Personal,341,87.15794037569513,130868,59,0
L00120,C00120,947421,Home,568,58.09398548163162,933339,50,1
L00121,C00121,172409,Home,353,58.32842594142922,3354343,353,1
L00122,C00122,2066716,Home,846,54.83050230458484,3649709,47,0
L00123,C00123,2400770,Business,503,78.5175407943067,841562,56,0
L00124,C00124,819598,Vehicle,433,97.72155189357656,2976101,45,0
L00125,C00125,3317824,Education,725,90.59633455046753,3326060,193,0
L00126,C00126,3381068,Home,470,59.00249926113173,165924,207,1
L00127,C00127,3306415,Business,824,96.48794516202635,1367758,285,0
L00128,C00128,924371,Personal,344,60.48913272613488,3484767,162,1
L00129,C00129,2882868,Vehicle,345,50.2367605861845,1010825,152,1
L00130,C00130,3922998,Business,626,52.12384024423542,1795621,96,0
L00131,C00131,1023548,Business,414,95.97611430016181,94064,334,0
L00132,C00132,3394014,Education,394,90.73368922672098,3449398,121,0
L00133,C00133,1263475,Personal,518,82.16488422821246,1130972,147,0
L00134,C00134,3520495,Education,586,61.70552292945827,8608,50,1
L00135,C00135,3009034,Education,501,61.3467601552767,3034747,199,1
L00136,C00136,4624293,Business,616,83.95328844471119,1088334,138,0
L00137,C00137,93585,Home,559,84.98188088242006,333789,239,0
L00138,C00138,3107213,Vehicle,820,57.51151603785249,1106356,130,0
L00139,C00139,2589448,Vehicle,657,68.47794813081472,610399,215,0
L00140,C00140,159556,Business,383,62.71514362550643,1689106,337,1
L00141,C00141,1625557,Business,442,69.87981408216966,629947,357,1
L00142,C00142,4077419,Home,541,53.54521214552502,2187733,283,1
L00143,C00143,4444539,Home,300,55.036602139605044,2199618,310,1
L00144,C00144,2173091,Business,690,87.76196948099133,3473983,145,0
L00145,C00145,2059021,Personal,596,53.088376713824196,3941176,318,1
L00146,C00146,1251482,Business,483,96.73709485446895,1768147,174,0
L00147,C00147,592335,Education,405,96.58247702569642,2808976,227,0
L00148,C00148,3483977,Education,456,55.13923571077966,3624307,242,1
L00149,C00149,4320070,Business,544,66.07345085162129,1575505,166,1
L00150,C00150,3610920,Home,562,82.53231213568469,2384704,285,0
L00151,C00151,2534413,Personal,787,66.17930422303007,1512035,267,0
L00152,C00152,2957360,Education,399,96.94222580238295,2531030,20,0
L00153,C00153,2832592,Home,574,64.44231311039857,1137221,24,1
L00154,C00154,2285000,Business,536,65.68493888472763,1526175,167,1
L00155,C00155,4372252,Home,627,95.25948920195327,1791733,261,0
L00156,C00156,452690,Business,595,76.28943586002444,3801888,72,0
L00157,C00157,4743350,Education,796,79.19253989392519,112600,201,0
L00158,C00158,2598421,Vehicle,454,70.3792291039533,2659271,35,1
L00159,C00159,4266263,Personal,733,50.40142568979542,3459085,342,0
L00160,C00160,3856618,Business,745,89.52439027040268,3386822,58,0
L00161,C00161,2004109,Business,640,60.286424276087054,3297782,325,0
L00162,C00162,4472880,Vehicle,541,78.34094970577914,2908559,260,0
L00163,C00163,3162754,Business,550,94.28015797861048,3748370,124,0
L00164,C00164,1434250,Education,371,81.26220068720892,3733151,111,0
L00165,C00165,4075717,Home,463,93.89894375073362,842260,132,0
L00166,C00166,111087,Personal,722,78.19801058753247,3928420,212,0
L00167,C00167,1546176,Personal,710,78.14842008263415,1772304,152,0
L00168,C00168,1936013,Home,339,81.80212009611182,2182521,165,0
L00169,C00169,4684096,Education,826,55.21991441444902,2276832,29,0
L00170,C00170,89353,Education,366,59.66962513137615,3412694,355,1
L00171,C00171,3410011,Education,822,90.40718035814243,1637804,254,0
L00172,C00172,4309622,Business,519,69.57265665977539,1885266,257,1
L00173,C00173,466880,Personal,332,97.4306767740747,3171349,99,0
L00174,C00174,863168,Personal,571,59.23666018208157,396059,172,1
L00175,C00175,275281,Business,770,65.06350594535422,3959329,174,0
L00176,C00176,3167697,Personal,529,80.08391805422856,3672397,78,0
L00177,C00177,3832875,Vehicle,671,86.0212334772391,984894,30,0
L00178,C00178,3045765,Education,770,50.270159486698915,3241505,153,0
L00179,C00179,319536,Business,314,53.13284714372184,1982261,338,1
L00180,C00180,4422093,Business,493,57.22214668279056,2998559,154,1
L00181,C00181,1611729,Personal,453,80.01650010389703,2985881,161,0
L00182,C00182,2272809,Vehicle,792,81.44829206032342,2737374,141,0
L00183,C00183,731669,Home,771,97.95255981980351,2739273,102,0
L00184,C00184,3914822,Business,778,80.65729601116533,724285,267,0
L00185,C00185,1169043,Personal,832,62.71078908243172,3553273,231,0
L00186,C00186,3379462,Home,602,99.02987033136523,3979510,92,0
L00187,C00187,2256903,Vehicle,525,86.3988786199215,2236044,175,0
L00188,C00188,1791093,Vehicle,695,83.42386466222892,1220597,111,0
L00189,C00189,2608231,Vehicle,737,53.04568089150127,1993645,264,0
L00190,C00190,4350385,Business,773,92.05839391459216,137182,109,0
L00191,C00191,3130389,Education,380,71.3272755045538,2143424,89,1
L00192,C00192,1711909,Business,453,65.30551009922817,2921067,92,1
L00193,C00193,2706138,Education,566,99.9646831701821,3568799,21,0
L00194,C00194,160078,Vehicle,542,59.44679414238376,531560,15,1
L00195,C00195,1965631,Business,511,54.412241785928316,936084,119,1
L00196,C00196,1454104,Business,579,66.31519338676353,3174969,96,1
L00197,C00197,2058187,Vehicle,449,60.925142352611985,1403559,84,1
L00198,C00198,1709066,Personal,433,59.05528928997288,1936587,144,1
L00199,C00199,4223125,Education,514,51.024474685370805,1533861,135,1
L00200,C00200,2198815,Home,678,60.01097842174079,1806232,90,0
L00201,C00201,4074066,Home,625,96.71781648636914,25073,320,0
L00202,C00202,4556259,Vehicle,469,81.00169295819165,2329935,71,0
L00203,C00203,4185314,Personal,539,79.25617312535728,2652609,117,0
L00204,C00204,960681,Business,814,89.22546025044798,2699165,139,0
L00205,C00205,1657618,Business,441,64.63413651993584,3389722,253,1
L00206,C00206,3946830,Education,601,62.51592874722076,2329817,142,0
L00207,C00207,4386787,Home,696,57.199157215509395,2952937,241,0
L00208,C00208,2805423,Education,684,69.41562228841778,711001,279,0
L00209,C00209,2083350,Education,344,72.47118141114309,983946,92,1
L00210,C00210,2361987,Vehicle,504,84.88857016526642,3983564,320,0
L00211,C00211,4646200,Home,677,53.811166556462275,972785,99,0
L00212,C00212,4721399,Home,603,69.29367595594597,1075453,148,0
L00213,C00213,121295,Education,792,65.02385152392496,1171717,91,0
L00214,C00214,793974,Business,390,69.38216587332106,1577765,201,1
L00215,C00215,3495376,Business,454,91.48190485280868,314783,225,0
L00216,C00216,3662600,Business,507,65.82687647647357,350095,258,1
L00217,C00217,875816,Personal,459,82.99350319582916,178437,198,0
L00218,C00218,424705,Education,575,95.43166089238142,3990009,303,0
L00219,C00219,3767270,Business,694,86.67676002379744,233371,315,0
L00220,C00220,1906926,Business,759,52.81097162177472,1979318,334,0
L00221,C00221,1708845,Vehicle,485,91.76951912706595,1786198,275,0
L00222,C00222,2076793,Home,712,61.679059486132275,1476627,61,0
L00223,C00223,604594,Personal,611,94.67220501410182,3191424,242,0
L00224,C00224,197718,Personal,616,52.54142184946563,3580962,260,0
L00225,C00225,4889567,Home,628,98.50025731600161,2633961,152,0
L00226,C00226,3554473,Home,428,80.0898890541952,352857,117,0
L00227,C00227,2254664,Home,689,55.153150177695224,3526049,189,0
L00228,C00228,4391747,Vehicle,769,62.783526082037916,2177100,24,0
L00229,C00229,1569163,Vehicle,480,83.20866092375081,2919835,290,0
L00230,C00230,4617920,Business,580,53.5055218556893,3290196,94,1
L00231,C00231,736976,Vehicle,746,88.49158625361646,1588490,67,0
L00232,C00232,2522189,Business,556,97.51612396133194,1643300,131,0
L00233,C00233,3191259,Business,648,67.91114787539864,360489,44,0
L00234,C00234,167796,Vehicle,486,83.8128736452297,3737339,183,0
L00235,C00235,1291082,Education,792,54.54503683210713,2004914,176,0
L00236,C00236,4942680,Home,570,84.65567487289636,2231977,289,0
L00237,C00237,4942306,Business,737,55.734899744621885,1186724,38,0
L00238,C00238,4164639,Education,807,61.45379391759022,3423327,321,0
L00239,C00239,2738130,Education,522,60.8753139397929,1383819,223,1
L00240,C00240,3724515,Personal,831,94.56770100098926,1454304,270,0
L00241,C00241,1629159,Vehicle,807,93.59823856105038,3168917,327,0
L00242,C00242,957317,Home,447,69.8167925678463,689803,132,1
L00243,C00243,2535367,Education,549,85.38617278777578,3945907,284,0
L00244,C00244,4565488,Education,428,51.46603129565987,467767,104,1
